BoroCD_code,CORRIDOR,CrossStree,ENFORCEMENT_START,FROM_STREET,FromStreet,Install_Date,MainStreet,Name,OBJECTID,OnStreet,Shape_Area,Shape_Length,Street1,Street2,TO_STREET,ToStreet,YR,Year,completion,date_insta,end_date,from_stree,geometry_x,geometry_y,humps,on_street,pjct_name,sip_year,source_layer_id,sq_mi,to_street,treatment_
,,East 96 Street,,,,1350950400000,3 Avenue,,3423,,,,,,,,,,,,,,998281.3990905583,225344.9860394746,,,,,3,,,
,,West 27 Street,,,,1343347200000,7 Avenue,,3458,,,,,,,,,,,,,,985964.4007587135,211286.98922114074,,,,,3,,,
,,West 125 Street,,,,1341792000000,7 Avenue,,3461,,,,,,,,,,,,,,998555.3991987258,234008.98413139582,,,,,3,,,
,,West 33 Street,,,,1339977600000,10 Avenue,,3503,,,,,,,,,,,,,,984357.4016761333,213942.98850230873,,,,,3,,,
,,East 23 Street,,,,1354320000000,Broadway,,3521,,,,,,,,,,,,,,987263.4004573077,209369.98944622278,,,,,3,,,
,,West 110 Street,,,,1340928000000,Broadway,,3542,,,,,,,,,,,,,,993469.4001843929,232255.98468464613,,,,,3,,,
,,West 97 Street,,,,1332892800000,Central Park West,,3587,,,,,,,,,,,,,,994170.4000947177,227954.98541264236,,,,,3,,,
,,West 72 Street,,,,1329868800000,Columbus Avenue,,3594,,,,,,,,,,,,,,990122.400644809,222505.9864681363,,,,,3,,,
,,Clinton Street,,,,1344297600000,Grand Street,,3611,,,,,,,,,,,,,,987931.4001055509,200114.99122397602,,,,,3,,,
,,Lafayette Street,,,,1334793600000,Kenmare Street,,3614,,,,,,,,,,,,,,984871.4009762257,202162.99073688686,,,,,3,,,
,,Broome Street,,,,1340409600000,Lafayette Street,,3615,,,,,,,,,,,,,,984750.4008901417,201975.99078281224,,,,,3,,,
,,West 95 Street,,,,1342483200000,Riverside Drive,,3673,,,,,,,,,,,,,,990915.400699228,229106.98540522158,,,,,3,,,
,,East 60 Street,,,,1331769600000,York Avenue,,3693,,,,,,,,,,,,,,995535.3993332237,215903.98786114156,,,,,3,,,
,,157 Avenue,,,,1337299200000,Cross Bay Blvd,,3728,,,,,,,,,,,,,,1028445.3915839642,180688.99365872145,,,,,3,,,
,,Morris Park Avenue,,,,1341532800000,Eastchester Road,,3952,,,,,,,,,,,,,,1027322.3941580504,249423.9802042246,,,,,3,,,
,,Havemeyer Street,,,,1331769600000,Borinquen Place,,4112,,,,,,,,,,,,,,995786.3985031396,198037.99144098163,,,,,3,,,
,,Brighton Avenue,,,,1326326400000,Castleton Avenue,,4243,,,,,,,,,,,,,,957253.405359298,170270.9980905652,,,,,3,,,
,,Manor Road,,,,1331251200000,Victory Blvd,,4287,,,,,,,,,,,,,,950223.406624049,162657.99953706563,,,,,3,,,
,,Van Dam Street - Thomson Ave,,,,1355184000000,Queens Boulevard,,5944,,,,,,,,,,,,,,1002651.9999293834,210610.00008955598,,,,,3,,,
,,East 62 Street,,,,1331769600000,York Avenue ,,6026,,,,,,,,,,,,,,995787.999877885,216363.00006647408,,,,,3,,,
,,East 63 Street,,,,1331769600000,York Avenue ,,6027,,,,,,,,,,,,,,995911.9999579638,216597.99992455542,,,,,3,,,
,,E 62 Street,,,,1331769600000,York Avenue  ,,6149,,,,,,,,,,,,,,995787.999877885,216363.00006647408,,,,,3,,,
,,E 63 Street,,,,1331769600000,York Avenue  ,,6150,,,,,,,,,,,,,,995911.9999579638,216597.99992455542,,,,,3,,,
,,East 14 Street,,,,1384128000000,1 Avenue,,3362,,,,,,,,,,,,,,989085.4004222155,205724.99017456174,,,,,4,,,
,,East 25 Street,,,,1368576000000,3 Avenue,,3416,,,,,,,,,,,,,,989179.4002342224,208917.98936598003,,,,,4,,,
,,East 86 Street,,,,1375315200000,3 Avenue,,3422,,,,,,,,,,,,,,996994.3993679732,223022.98641839623,,,,,4,,,
,,East 106 Street,,,,1359504000000,5 Avenue,,3432,,,,,,,,,,,,,,997787.3994223922,228656.98532097042,,,,,4,,,
,,West 9 Street,,,,1375315200000,6 Avenue,,3439,,,,,,,,,,,,,,984476.4011100531,206739.98978497088,,,,,4,,,
,,West 177 Street,,,,1381968000000,Broadway,,3561,,,,,,,,,,,,,,1001410.3993942142,248123.98116381466,,,,,4,,,
,,West 86 Street,,,,1381795200000,Columbus Avenue,,3597,,,,,,,,,,,,,,991956.4002576321,225812.9857596457,,,,,4,,,
,,Lewis Street,,,,1375315200000,Grand Street,,3612,,,,,,,,,,,,,,989805.3999664783,199393.99102556705,,,,,4,,,
,,30 Street,,,,1367366400000,30 Avenue,,3713,,,,,,,,,,,,,,1005772.3972318918,218838.98691239953,,,,,4,,,
,,Hunter Street,,,,1371945600000,44 Drive,,3717,,,,,,,,,,,,,,999810.3983291388,211586.9886211455,,,,,4,,,
,,East 149 Street,,,,1387152000000,Grand Concourse,,3955,,,,,,,,,,,,,,1004368.3983994722,237505.98337097466,,,,,4,,,
,,Troy Avenue,,,,1380326400000,East New York Avenue,,4143,,,,,,,,,,,,,,1001634.3969777226,180607.99480497837,,,,,4,,,
,,Guyon Avenue,,,,1370908800000,Hylan Boulevard,,4259,,,,,,,,,,,,,,950892.4059422165,143463.00347830355,,,,,4,,,
,,Park Ave,,,,1386115200000,E 149th St,,4392,,,,,,,,,,,,,,1004368.3983994722,237505.98337097466,,,,,4,,,
,,Park Avenue,,,,1386115200000,E 149 Street,,4575,,,,,,,,,,,,,,1004957.9999105483,237309.99983906746,,,,,4,,,
,,East 189 Street,,,,1371254400000,Webster Avenue,,5062,,,,,,,,,,,,,,1013967.9999351352,252807.0000129789,,,,,4,,,
,,East 26 Street,,,,1414800000000,1 Avenue,,3366,,,,,,,,,,,,,,990583.4000508934,208437.9896698147,,,,,5,,,
,,East 26 Street,,,,1418428800000,2 Avenue,,3403,,,,,,,,,,,,,,989930.4003726393,208796.9896079749,,,,,5,,,
,,East 65 Street,,,,1399593600000,3 Avenue,,3421,,,,,,,,,,,,,,994266.3995746374,218098.98740814626,,,,,5,,,
,,East 8 Street,,,,1417996800000,5 Avenue,,3424,,,,,,,,,,,,,,985261.4008523822,206052.99017472565,,,,,5,,,
,,East 60 Street,,,,1389744000000,5 Avenue,,3426,,,,,,,,,,,,,,991853.4001355469,217947.98738205433,,,,,5,,,
,,Carmine St,,,,1410220800000,6 Avenue,,3434,,,,,,,,,,,,,,983783.4011837244,205443.9900803864,,,,,5,,,
,,West 57 Street,,,,1390953600000,8 Avenue,,3480,,,,,,,,,,,,,,988993.400606215,218608.98770047724,,,,,5,,,
,,West 97 Street,,,,1396224000000,Broadway,,3537,,,,,,,,,,,,,,992200.4000977278,229033.9852231443,,,,,5,,,
,,East 82 Street,,,,1406764800000,East End Avenue,,3602,,,,,,,,,,,,,,999025.3985868096,220666.98686531186,,,,,5,,,
,,Edward Morgan Pl,,,,1399161600000,West 157 Street,,3608,,,,,,,,,,,,,,999369.3992111385,243226.98242764175,,,,,5,,,
,,East 84 Street,,,,1414540800000,Park Avenue,,3645,,,,,,,,,,,,,,995836.3997154683,223036.98671847582,,,,,5,,,
,,Pike Slip,,,,1396224000000,South Street,,3675,,,,,,,,,,,,,,986493.4006849676,197874.99176697433,,,,,5,,,
,,West 95 Street,,,,1405987200000,West End Avenue,,3688,,,,,,,,,,,,,,991532.4004494697,228761.98543906212,,,,,5,,,
,,E 72 Street,,,,1418342400000,York Avenue,,3697,,,,,,,,,,,,,,997062.3989038914,218661.98726639152,,,,,5,,,
,,160 Street,,,,1412899200000,Archer Ave,,3720,,,,,,,,,,,,,,1040143.3901695609,195364.99055339396,,,,,5,,,
,,150 STREET,,,,1418860800000,Jamaica Avenue,,3738,,,,,,,,,,,,,,1038473.3905567974,195139.99067531526,,,,,5,,,
,,175 STREET,,,,1418860800000,Jamaica Avenue,,3740,,,,,,,,,,,,,,1043668.3893531412,197265.99003222585,,,,,5,,,
,,179 STREET,,,,1418860800000,Jamaica Avenue,,3741,,,,,,,,,,,,,,1044591.3891475499,197320.99025030434,,,,,5,,,
,,188 ST,,,,1418860800000,Jamaica Avenue,,3742,,,,,,,,,,,,,,1047832.3885710537,198326.989878729,,,,,5,,,
,,189 STREET,,,,1418774400000,Jamaica Avenue,,3743,,,,,,,,,,,,,,1047995.3885731399,198522.989814803,,,,,5,,,
,,190 STREET,,,,1418774400000,Jamaica Avenue,,3744,,,,,,,,,,,,,,1048168.3885552138,198749.98936080933,,,,,5,,,
,,207 STREET,,,,1418774400000,Jamaica Avenue,,3745,,,,,,,,,,,,,,1052690.3873852193,199531.98943722248,,,,,5,,,
,,209 STREET,,,,1418774400000,Jamaica Avenue,,3746,,,,,,,,,,,,,,1053186.3873774707,199730.98903922737,,,,,5,,,
,,222 STREET,,,,1418774400000,Jamaica Avenue,,3747,,,,,,,,,,,,,,1058445.3863738924,201812.98881222308,,,,,5,,,
,,224 STREET,,,,1418774400000,Jamaica Avenue,,3748,,,,,,,,,,,,,,1058811.3866261393,202281.98853039742,,,,,5,,,
,,21  Street,,,,1411603200000,Jackson Ave,,3750,,,,,,,,,,,,,,998514.3986245543,210576.98900072277,,,,,5,,,
,,Cherry Avenue,,,,1398211200000,Main Street,,3761,,,,,,,,,,,,,,1032213.3919219673,213472.9871457219,,,,,5,,,
,,61 Street,,,,1401840000000,Northern Boulevard,,3777,,,,,,,,,,,,,,1011619.3960365504,213955.98782014847,,,,,5,,,
,,62 Street,,,,1406160000000,Northern Boulevard,,3778,,,,,,,,,,,,,,1011872.3958586305,213988.98775413632,,,,,5,,,
,,69 Street,,,,1407974400000,Northern Boulevard,,3779,,,,,,,,,,,,,,1012648.395947054,214094.98787023127,,,,,5,,,
,,75 Street,,,,1417564800000,Northern Boulevard,,3780,,,,,,,,,,,,,,1014205.3957858086,214312.9874342233,,,,,5,,,
,,78 Street,,,,1407974400000,Northern Boulevard,,3781,,,,,,,,,,,,,,1014978.3952240497,214421.98754431307,,,,,5,,,
,,79 Street,,,,1407974400000,Northern Boulevard,,3782,,,,,,,,,,,,,,1015236.3953642249,214456.98747430742,,,,,5,,,
,,80 Street,,,,1407974400000,Northern Boulevard,,3783,,,,,,,,,,,,,,1015494.3955043852,214492.987402305,,,,,5,,,
,,89 Street,,,,1417737600000,Northern Boulevard,,3784,,,,,,,,,,,,,,1017811.3951354772,214815.9874124825,,,,,5,,,
,,93 Street,,,,1418688000000,Northern Boulevard,,3786,,,,,,,,,,,,,,1018842.3947138935,214959.98712447286,,,,,5,,,
,,99 Street,,,,1418947200000,Northern Boulevard,,3787,,,,,,,,,,,,,,1020403.3942165524,215178.98734264076,,,,,5,,,
,,100 Street,,,,1417737600000,Northern Boulevard,,3788,,,,,,,,,,,,,,1020686.3943067193,215218.98726263642,,,,,5,,,
,,103 Street,,,,1418947200000,Northern Boulevard,,3789,,,,,,,,,,,,,,1021464.3943911344,215326.98737472296,,,,,5,,,
,,104 Street,,,,1416614400000,Northern Boulevard,,3790,,,,,,,,,,,,,,1021756.3941352218,215350.98732672632,,,,,5,,,
,,112 Street,,,,1417737600000,Northern Boulevard,,3791,,,,,,,,,,,,,,1023658.393612057,215474.9870787263,,,,,5,,,
,,155 Street,,,,1407110400000,Northern Boulevard,,3792,,,,,,,,,,,,,,1036867.3914722204,217813.98633772135,,,,,5,,,
,,157 Street,,,,1407110400000,Northern Boulevard,,3793,,,,,,,,,,,,,,1037373.3911163807,217603.98610155284,,,,,5,,,
,,158 Street,,,,1407110400000,Northern Boulevard,,3794,,,,,,,,,,,,,,1037621.3909484744,217494.98631955683,,,,,5,,,
,,167 Street,,,,1407110400000,Northern Boulevard,,3795,,,,,,,,,,,,,,1039823.3908095509,216005.98667289317,,,,,5,,,
,,195 Street,,,,1406246400000,Northern Boulevard,,3796,,,,,,,,,,,,,,1043342.3896770477,215485.98640055954,,,,,5,,,
,,196 Street,,,,1406246400000,Northern Boulevard,,3797,,,,,,,,,,,,,,1043630.389757216,215491.98671664298,,,,,5,,,
,,Corporal Kennedy Street,,,,1407974400000,Northern Boulevard,,3798,,,,,,,,,,,,,,1046921.3890807182,215938.98615072668,,,,,5,,,
,,Barclay Avenue,,,,1414108800000,Union Street,,3872,,,,,,,,,,,,,,1032562.3922082186,215692.98697081208,,,,,5,,,
,,W 195 Street,,,,1414540800000,Jerome Avenue,,3958,,,,,,,,,,,,,,1012859.3968373835,255732.9793972224,,,,,5,,,
,,White Plains Road,,,,1405987200000,Morris Park Avenue,,3984,,,,,,,,,,,,,,1021292.3953913003,247239.98096330464,,,,,5,,,
,,East 144 Street,,,,1389571200000,Park Avenue,,3986,,,,,,,,,,,,,,1004559.3983455598,236616.98350855708,,,,,5,,,
,,West 231 Street,,,,1414540800000,Riverdale Avenue,,3995,,,,,,,,,,,,,,1009308.3980338871,260391.978609398,,,,,5,,,
,,Hicks Street,,,,1412726400000,Atlantic Ave,,4087,,,,,,,,,,,,,,984869.4006521404,191093.9931898862,,,,,5,,,
,,5 Avenue,,,,1415577600000,Flatbush Avenue,,4147,,,,,,,,,,,,,,990819.3992508054,187930.9932823032,,,,,5,,,
,,Avenue H,,,,1408492800000,Flatbush Avenue,,4150,,,,,,,,,,,,,,999105.3974425495,169425.99715588987,,,,,5,,,
,,Albemarle Road,,,,1416787200000,McDonald Ave,,4173,,,,,,,,,,,,,,989833.3992543072,174304.995928064,,,,,5,,,
,,St. Johns Place,,,,1414108800000,Rogers Avenue,,4211,,,,,,,,,,,,,,997259.3978537172,184027.99419856071,,,,,5,,,
,,Linden Blvd,,,,1416873600000,Utica Avenue,,4232,,,,,,,,,,,,,,1003505.3965165615,177479.99515548348,,,,,5,,,
,,East 3 Street,,,,1439596800000,1 Avenue,,3355,,,,,,,,,,,,,,987717.4005335569,203255.9905193895,,,,,6,,,
,,East 4 Street,,,,1439596800000,1 Avenue,,3356,,,,,,,,,,,,,,987841.4006136358,203480.9903974831,,,,,6,,,
,,East 9 Street,,,,1439596800000,1 Avenue,,3357,,,,,,,,,,,,,,988447.4003858864,204567.9901919812,,,,,6,,,
,,East 10 Street,,,,1439596800000,1 Avenue,,3358,,,,,,,,,,,,,,988565.4001498818,204783.9900880605,,,,,6,,,
,,East 11 Street,,,,1439596800000,1 Avenue,,3359,,,,,,,,,,,,,,988685.4002379775,205002.9903062284,,,,,6,,,
,,East 12 Street,,,,1439596800000,1 Avenue,,3360,,,,,,,,,,,,,,988813.4003100544,205234.9901703149,,,,,6,,,
,,East 13 Street,,,,1439596800000,1 Avenue,,3361,,,,,,,,,,,,,,988942.4003801346,205470.9900263995,,,,,6,,,
,,East 16 Street,,,,1439596800000,1 Avenue,,3363,,,,,,,,,,,,,,989377.4001663029,206186.98990672827,,,,,6,,,
,,East 29 Street,,,,1439596800000,1 Avenue,,3367,,,,,,,,,,,,,,990957.3999590576,209110.98930805922,,,,,6,,,
,,East 54 Street,,,,1444262400000,1 Avenue,,3373,,,,,,,,,,,,,,994134.3995105475,214845.98833672702,,,,,6,,,
,,East 61 Street,,,,1446422400000,1 Avenue,,3377,,,,,,,,,,,,,,995035.3993489742,216476.98802748322,,,,,6,,,
,,East 66 Street,,,,1439596800000,1 Avenue,,3379,,,,,,,,,,,,,,995668.3993953019,217618.98738388717,,,,,6,,,
,,East 67 Street,,,,1439596800000,1 Avenue,,3380,,,,,,,,,,,,,,995795.3991413116,217846.98758405447,,,,,6,,,
,,East 74 Street,,,,1439596800000,1 Avenue,,3381,,,,,,,,,,,,,,996704.3992917985,219487.9872548133,,,,,6,,,
,,East 75 Street,,,,1439596800000,1 Avenue,,3382,,,,,,,,,,,,,,996832.3993638903,219718.98712089658,,,,,6,,,
,,East 76 Street,,,,1439596800000,1 Avenue,,3383,,,,,,,,,,,,,,996960.3994359672,219950.9869849831,,,,,6,,,
,,East 77 Street,,,,1439596800000,1 Avenue,,3384,,,,,,,,,,,,,,997089.3991779685,220181.98685106635,,,,,6,,,
,,East 78 Street,,,,1439596800000,1 Avenue,,3385,,,,,,,,,,,,,,997216.3992520571,220412.98704522848,,,,,6,,,
,,East 80 Street,,,,1439596800000,1 Avenue,,3386,,,,,,,,,,,,,,997493.3990261406,220908.98703747988,,,,,6,,,
,,East 82 Street,,,,1439596800000,1 Avenue,,3387,,,,,,,,,,,,,,997749.3988422155,221372.98643755913,,,,,6,,,
,,East 83 Street,,,,1439596800000,1 Avenue,,3388,,,,,,,,,,,,,,997877.3989143074,221604.9866297245,,,,,6,,,
,,East 87 Street,,,,1439596800000,1 Avenue,,3389,,,,,,,,,,,,,,998408.3988365531,222561.98668423295,,,,,6,,,
,,East 88 Street,,,,1439596800000,1 Avenue,,3390,,,,,,,,,,,,,,998535.3989106417,222790.98655430973,,,,,6,,,
,,East 91 Street,,,,1439596800000,1 Avenue,,3391,,,,,,,,,,,,,,998915.3988068104,223476.9861665666,,,,,6,,,
,,East 92 Street,,,,1439596800000,1 Avenue,,3392,,,,,,,,,,,,,,999041.3988828808,223704.9863667339,,,,,6,,,
,,East 100 Street,,,,1439596800000,1 Avenue,,3393,,,,,,,,,,,,,,1000077.3987793922,225568.98591956496,,,,,6,,,
,,East 102 Street,,,,1439596800000,1 Avenue,,3394,,,,,,,,,,,,,,1000329.3986034691,226027.98565772176,,,,,6,,,
,,East 104 Street,,,,1439596800000,1 Avenue,,3395,,,,,,,,,,,,,,1000583.3987516314,226484.98572798073,,,,,6,,,
,,East 105 Street,,,,1439596800000,1 Avenue,,3396,,,,,,,,,,,,,,1000710.3984976411,226714.98559606075,,,,,6,,,
,,East 108 Street,,,,1439596800000,1 Avenue,,3397,,,,,,,,,,,,,,1001105.3986918926,227427.9854823947,,,,,6,,,
,,East 110 Street,,,,1439596800000,1 Avenue,,3398,,,,,,,,,,,,,,1001364.3985019773,227894.98520456254,,,,,6,,,
,,East 117 Street,,,,1439596800000,1 Avenue,,3400,,,,,,,,,,,,,,1002271.3983283937,229532.98488131166,,,,,6,,,
,,East 118 Street,,,,1439596800000,1 Avenue,,3401,,,,,,,,,,,,,,1002398.3984024674,229761.98475138843,,,,,6,,,
,,East 120 Street,,,,1439596800000,1 Avenue,,3402,,,,,,,,,,,,,,1002655.3982165605,230226.98480564356,,,,,6,,,
,,East 28 Street,,,,1426723200000,3 Avenue,,3417,,,,,,,,,,,,,,989554.4001403898,209593.98932631314,,,,,6,,,
,,East 32 Street,,,,1429315200000,3 Avenue,,3418,,,,,,,,,,,,,,990053.400126636,210494.98916472495,,,,,6,,,
,,Charlton Street,,,,1423180800000,6 Avenue,,3436,,,,,,,,,,,,,,983295.4011754692,204123.99042381346,,,,,6,,,
,,Washington Place,,,,1423180800000,6 Avenue,,3437,,,,,,,,,,,,,,984108.4011898935,206075.99012872577,,,,,6,,,
,,West 11 Street,,,,1423180800000,6 Avenue,,3440,,,,,,,,,,,,,,984728.4012622237,207195.9898572266,,,,,6,,,
,,West 12 Street,,,,1423180800000,6 Avenue,,3441,,,,,,,,,,,,,,984858.4013303071,207430.98971530795,,,,,6,,,
,,West 13 Street,,,,1423180800000,6 Avenue,,3442,,,,,,,,,,,,,,984987.4014003873,207661.98990947008,,,,,6,,,
,,West 16 Street,,,,1423180800000,6 Avenue,,3444,,,,,,,,,,,,,,985393.401244551,208396.98942372203,,,,,6,,,
,,West 17 Street,,,,1423180800000,6 Avenue,,3445,,,,,,,,,,,,,,985512.4010065496,208608.98965589702,,,,,6,,,
,,West 42 Street,,,,1436572800000,6 Avenue,,3448,,,,,,,,,,,,,,988650.4006360471,214282.98847848177,,,,,6,,,
,,W 12 Street,,,,1427500800000,7 Avenue,,3450,,,,,,,,,,,,,,984071.4012638927,207865.98982955515,,,,,6,,,
,,W 13 Street,,,,1427500800000,7 Avenue,,3451,,,,,,,,,,,,,,984199.4013359696,208097.98969364166,,,,,6,,,
,,W 14 Street,,,,1436572800000,7 Avenue,,3452,,,,,,,,,,,,,,984338.4013860524,208347.98984980583,,,,,6,,,
,,W 16 Street,,,,1427500800000,7 Avenue,,3453,,,,,,,,,,,,,,984607.4011761397,208831.98953798413,,,,,6,,,
,,W 17 Street,,,,1427500800000,7 Avenue,,3454,,,,,,,,,,,,,,984725.401268214,209046.9894360602,,,,,6,,,
,,W 24 Street,,,,1427500800000,7 Avenue,,3456,,,,,,,,,,,,,,985593.4011726379,210609.9892628044,,,,,6,,,
,,W 25 Street,,,,1427500800000,7 Avenue,,3457,,,,,,,,,,,,,,985716.4012547135,210836.98913688958,,,,,6,,,
